transaction time: 1.911s; total transactions: 104; average time: 2.00229
transaction time: 3.209s; total transactions: 105; average time: 2.01378
transaction time: 0.747s; total transactions: 106; average time: 2.00183
transaction time: 0.652s; total transactions: 107; average time: 1.98921
transaction time: 4.738s; total transactions: 108; average time: 2.01467
transaction time: 3.109s; total transactions: 109; average time: 2.02471
transaction time: 1.238s; total transactions: 110; average time: 2.01755
transaction time: 2.17s; total transactions: 111; average time: 2.01893
transaction time: 5.834s; total transactions: 112; average time: 2.05299
transaction time: 0.799s; total transactions: 113; average time: 2.04189
transaction time: 0.578s; total transactions: 114; average time: 2.02905
transaction time: 1.926s; total transactions: 115; average time: 2.02816
transaction time: 0.655s; total transactions: 116; average time: 2.01632
transaction time: 0.85s; total transactions: 117; average time: 2.00635
transaction time: 0.617s; total transactions: 118; average time: 1.99458
transaction time: 2.724s; total transactions: 119; average time: 2.00071
transaction time: 0.811s; total transactions: 120; average time: 1.99079
transaction time: 0.961s; total transactions: 121; average time: 1.98228
transaction time: 0.967s; total transactions: 122; average time: 1.97396
transaction time: 1.773s; total transactions: 123; average time: 1.97233
transaction time: 0.68s; total transactions: 124; average time: 1.96190
transaction time: 3.084s; total transactions: 125; average time: 1.97088
transaction time: 1.122s; total transactions: 126; average time: 1.96414
transaction time: 2.516s; total transactions: 127; average time: 1.96849
transaction time: 2.055s; total transactions: 128; average time: 1.96916
transaction time: 0.779s; total transactions: 129; average time: 1.95994
transaction time: 0.569s; total transactions: 130; average time: 1.94924
transaction time: 1.268s; total transactions: 131; average time: 1.94404
transaction time: 0.995s; total transactions: 132; average time: 1.93685
transaction time: 1.254s; total transactions: 133; average time: 1.93171
transaction time: 2.108s; total transactions: 134; average time: 1.93303
transaction time: 2.138s; total transactions: 135; average time: 1.93455
transaction time: 2.149s; total transactions: 136; average time: 1.93612
transaction time: 0.61s; total transactions: 137; average time: 1.92645
transaction time: 1.928s; total transactions: 138; average time: 1.92646
transaction time: 0.655s; total transactions: 139; average time: 1.91731
transaction time: 3.641s; total transactions: 140; average time: 1.92962
transaction time: 0.795s; total transactions: 141; average time: 1.92157
transaction time: 1.153s; total transactions: 142; average time: 1.91616
transaction time: 0.742s; total transactions: 143; average time: 1.90795
transaction time: 2.557s; total transactions: 144; average time: 1.91246
transaction time: 2.805s; total transactions: 145; average time: 1.91861
transaction time: 0.523s; total transactions: 146; average time: 1.90905
transaction time: 3.412s; total transactions: 147; average time: 1.91928
transaction time: 3.721s; total transactions: 148; average time: 1.93145
transaction time: 3.644s; total transactions: 149; average time: 1.94295
transaction time: 3.012s; total transactions: 150; average time: 1.95007
transaction time: 1.105s; total transactions: 151; average time: 1.94448
transaction time: 0.846s; total transactions: 152; average time: 1.93725
transaction time: 2.322s; total transactions: 153; average time: 1.93976
transaction time: 1.437s; total transactions: 154; average time: 1.93650
transaction time: 1.29s; total transactions: 155; average time: 1.93233
transaction time: 1.731s; total transactions: 156; average time: 1.93104
transaction time: 0.918s; total transactions: 157; average time: 1.92459
transaction time: 0.876s; total transactions: 158; average time: 1.91795
transaction time: 1.32s; total transactions: 159; average time: 1.91419
transaction time: 1.004s; total transactions: 160; average time: 1.90850
transaction time: 4.557s; total transactions: 161; average time: 1.92495
transaction time: 3.599s; total transactions: 162; average time: 1.93528
transaction time: 2.44s; total transactions: 163; average time: 1.93838
transaction time: 0.689s; total transactions: 164; average time: 1.93076
transaction time: 0.714s; total transactions: 165; average time: 1.92339
transaction time: 1.894s; total transactions: 166; average time: 1.92321
transaction time: 1.604s; total transactions: 167; average time: 1.92130
transaction time: 0.764s; total transactions: 168; average time: 1.91441
transaction time: 1.424s; total transactions: 169; average time: 1.91151
transaction time: 1.208s; total transactions: 170; average time: 1.90737
transaction time: 2.96s; total transactions: 171; average time: 1.91353
transaction time: 0.946s; total transactions: 172; average time: 1.90790
transaction time: 2.225s; total transactions: 173; average time: 1.90973
transaction time: 0.568s; total transactions: 174; average time: 1.90202
transaction time: 0.718s; total transactions: 175; average time: 1.89526
transaction time: 2.03s; total transactions: 176; average time: 1.89602
